,ORDER_ID,COMPANY_ID,SERVICE_LINE,DRIVER_TYPE,WEIGHT_LBS,VOLUME_IN3,EXPENSE,PICKUP_ZIP,DELIVERY_ZIP
0,100001,589,1,commander,65.0,19008.0,304.93,77054,76104
1,100002,586,2,commander,150.0,18816.0,354.1,75209,77061
2,100003,451,2,agent,1110.0,85248.0,306.83,32607,33607
3,100004,30,1,commander,8.0,528.0,36.83,27704,27710
4,100005,1166,1,commander,80.0,9408.0,611.27,19403,28138
5,100006,980,1,commander,1.0,189.75,53.18,10451,10021
6,100007,811,2,agent,592.0,54080.0,883.68,44143,10604
7,100008,30,1,commander,8.0,528.0,44.22,27704,27514
8,100009,980,1,commander,1.0,189.75,41.22,10451,10016
9,100010,980,1,commander,1.0,189.75,140.21,10451,11794
10,100011,678,1,commander,100.0,27.0,186.76,92806,91304
11,100012,933,1,commander,5.0,125.0,41.01,93551,93534
12,100013,30,1,agent,1.0,192.0,19.21,27834,27514
13,100014,589,1,commander,1.0,1.0,54.36,77030,77030
14,100015,668,1,commander,100.0,31104.0,93.17,78229,78229
15,100016,355,1,agent,2.0,2600.0,407.4,30297-2502,28208
16,100017,980,1,commander,1.0,1728.0,53.9,10021,10021
17,100018,30,1,agent,2.0,132.0,241.47,27704,27834
18,100019,30,1,commander,8.0,528.0,96.05,27704,27103
19,100020,30,1,agent,1.0,192.0,302.9,27834,27710
20,100021,30,1,commander,8.0,528.0,138.05,27704,27103
21,100022,980,1,commander,1.0,1728.0,125.72,10021,10029
22,100023,980,1,commander,1.0,189.75,31.2,10456,10467
23,100024,502,1,commander,2.0,20.0,212.32,73132,75230
24,100025,1072,1,commander,30.0,11616.0,391.08,32773,33315
25,100026,567,1,commander,15.0,1728.0,428.77,27409,32609
26,100027,980,1,commander,1.0,189.75,85.69,10456,10595
27,100028,1284,1,agent,35.0,5508.0,497.6,86001,89002
28,100029,448,1,commander,1.0,5832.0,52.1,92123,92024
29,100030,107,1,commander,10.0,1728.0,83.43,94583,95350
30,100031,502,1,commander,40.0,1960.0,178.26,73132,76104
31,100032,839,1,commander,15.0,3375.0,47.03,76021,76063
32,100033,980,1,commander,1.0,189.75,75.6,10461,7608
33,100034,1069,2,agent,450.0,405000.0,510.92,77072,75063
34,100035,980,1,commander,1.0,189.75,26.43,10456,10021
35,100036,980,1,commander,1.0,189.75,35.24,10456,10016
36,100037,437,1,commander,2.0,360.0,93.54,60018,60666
37,100039,1139,1,agent,70.0,13824.0,134.77,60085,60612
38,100040,589,1,commander,90.0,9918.0,233.81,77054,76508
39,100038,316,2,agent,95.0,44505.0,392.62,52404,60666
40,100041,448,1,commander,2.0,11664.0,52.98,92123,92103
41,100042,458,1,agent,1.5,396.0,238.45,06443,01845
42,100043,590,1,commander,40.0,14508.0,988.84,07201,44067
43,100044,667,2,commander,1080.0,288000.0,659.52,94577,91355
44,100045,320,1,commander,10.0,300.0,90.57,11215,07645
45,100046,570,1,commander,8.0,2366.0,64.43,98405,98042
46,100047,1127,1,commander,25.0,1000.0,43.96,90638,91791
47,100048,157,1,agent,11.0,1.0,152.21,35124,36117
48,100049,157,1,agent,5.0,1.0,92.5,35124,35453
49,100050,435,1,commander,1.0,1.0,32.24,98052,98004
50,100051,321,1,commander,20.0,3375.0,291.99,76177,73159
51,100052,157,1,agent,37.0,1.0,80.69,15317,15235
52,100053,320,1,commander,2.0,8.0,27.87,75006,75028
53,100054,839,1,commander,15.0,3375.0,60.87,76021,76201
54,100055,1069,2,agent,30.0,27000.0,0.0,75063,77072
55,100056,1127,1,agent,3.0,3.0,61.52,92706,90638
56,100057,917,2,commander,125.0,13000.0,38.89,20175,20190
57,100058,980,1,commander,1.0,128.0,56.09,11554,11794
58,100059,808,1,commander,1.0,1.0,41.17,97214,97230
59,100060,1127,1,agent,25.0,1000.0,299.68,90638,91791
60,100061,980,1,commander,60.0,10050.0,50.12,11203,10017
61,100062,808,1,commander,1.0,1.0,51.72,98604,97230
62,100063,980,1,commander,60.0,10050.0,29.88,10467,10017
63,100064,1127,1,agent,25.0,1000.0,0.0,90638,92706
64,100065,571,1,commander,2.0,8.0,51.19,84067-1454,84003-3195
65,100066,980,1,commander,1.0,128.0,39.84,11554,11203
66,100067,573,1,commander,1.0,1.0,43.5,92346,92346
67,100068,980,1,commander,1.0,189.75,83.12,10017,10021
68,100069,1186,1,commander,1.0,1.0,40.95,92029,92111
69,100070,573,1,commander,1.0,1.0,80.43,92880,92346
70,100071,980,1,commander,1.0,128.0,30.57,11554,10021
71,100072,571,1,commander,2.0,8.0,40.27,84067-1454,84403
72,100073,131,1,agent,30.0,13824.0,204.93,35233,30322
73,100074,371,1,commander,1.0,1.0,38.68,95816,95834
74,100075,1301,1,commander,25.0,1200.0,211.5,77003,78727
75,100076,980,1,commander,1.0,128.0,36.3,11554,10032
76,100077,571,1,commander,4.0,16.0,37.56,84067-1454,84003-3195
77,100078,980,1,commander,1.0,128.0,72.34,11554,7608
78,100079,980,1,commander,1.0,16.0,28.97,11554,10467
79,100080,1127,1,commander,1.0,1.0,31.8,91791,90638
80,100081,14,2,commander,18.0,182742.0,58.74,20166,20109
